DATE,CPALTT01USQ657N
2006-01-01,0.539083557951489
2006-04-01,1.69235924932974
2006-07-01,0.560224089635865
2006-10-01,-0.852039980337538
2007-01-01,1.01917038506035
2007-04-01,1.91732908859793
2007-07-01,0.275928711193016
2007-10-01,0.711214555326801
2008-01-01,1.13677364185591
2008-04-01,2.19534465606688
2008-07-01,1.16305534624079
2008-10-01,-2.82852942920165
2009-01-01,-0.497633075000065
2009-04-01,1.06030233709879
2009-07-01,0.679071981630037
2009-10-01,0.20118858880576
2010-01-01,0.40141505360425
2010-04-01,0.475072151679043
2010-07-01,0.0932504983551205
2010-10-01,0.294916320739454
2011-01-01,1.26482237514333
2011-04-01,1.74331089219681
2011-07-01,0.408517984250489
2011-10-01,-0.152055770464975
2012-01-01,0.795638655920569
2012-04-01,0.827531738138412
