DATE,GDP
2006-01-01,13599.16
2006-04-01,13753.424
2006-07-01,13870.188
2006-10-01,14039.56
2007-01-01,14215.651
2007-04-01,14402.082
2007-07-01,14564.117
2007-10-01,14715.058
2008-01-01,14706.538
2008-04-01,14865.701
2008-07-01,14898.999
2008-10-01,14608.208
2009-01-01,14430.901
2009-04-01,14381.236
2009-07-01,14448.882
2009-10-01,14651.248
2010-01-01,14764.611
2010-04-01,14980.193
2010-07-01,15141.605
2010-10-01,15309.471
2011-01-01,15351.444
2011-04-01,15557.535
2011-07-01,15647.681
2011-10-01,15842.267
2012-01-01,16068.824
2012-04-01,16207.13
